X,Y,fid,BARef,PDC,PrimDesc,UARN,Occ,Add1,St,Postcode,EffDat,RV,SCAT,SCATnocode,Sector,Sub-sector,SCat_Desc,Easting,Northing,LAName,400mfromsett,2kmofsett,5kmofsett,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11CD,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11,icon_url
-0.645034175542271,53.5741781209469,"1",ND445000648,MP,POLICE STATION AND PREMISES,"3534551000",,ASHBY POLICE STATION,COLLUM AVENUE,DN16 2ET,,"15500",215G,"215",Other,OTHER - OFFICES,Police Stations,"489819","409473",North Lincolnshire,"0",1,1,C1,Urban city and town,./0.png
-0.602509000116386,53.6564508601681,"2",ND401409040,MP,POLICE STATION AND PREMISES,"310203253",,POLICE STATION,DE LACY WAY,DN15 9XX,,"2400",215G,"215",Other,OTHER - OFFICES,Police Stations,"492455","418680",North Lincolnshire,"1",1,1,D1,Rural town and fringe,./1.png
-0.665867690829847,53.597945434792,"3",ND445000679,MP,POLICE STATION AND PREMISES,"3701796000",,POLICE STATION,FERRY ROAD,DN15 8LY,,"24750",215G,"215",Other,OTHER - OFFICES,Police Stations,"488390","412091",North Lincolnshire,"0",1,1,C1,Urban city and town,./0.png
-0.441217536719074,53.6833958252537,"4",ND053259031,MP,POLICE STATION AND PREMISES,"4546643000",,POLICE STATION,HOLYDYKE,DN18 5PS,,"18500",215G,"215",Other,OTHER - OFFICES,Police Stations,"503048","421899",North Lincolnshire,"1",1,1,C1,Urban city and town,./0.png
-0.58478162704586,53.4721186481261,"5",ND233609080,MP,POLICE OFFICE AND PREMISES,"310201253",,POLICE OFFICE AND PREMISES,SOUTH CLIFF ROAD,DN21 4HU,,"1675",215G,"215",Other,OTHER - OFFICES,Police Stations,"494034","398197",North Lincolnshire,"0",1,1,E1,Rural village and dispersed,./2.png
-0.384528348803083,53.5819558832279,"6",ND250109010,MP,POLICE STATION AND PREMISES,"310202253",,HUMBERSIDE POLICE,,DN38 6DR,,"2750",215G,"215",Other,OTHER - OFFICES,Police Stations,"507048","410698",North Lincolnshire,"0",0,0,D1,Rural town and fringe,./1.png
-2.5811676597274,51.4613176084413,"7",0001351408300A,MP,POLICE STATION AND PREMISES,"5328167000",,NEWFOUNDLAND ROAD POLICE STATION 83,NEWFOUNDLAND ROAD,BS2 9LU,,"86500",215G,"215",Other,OTHER - OFFICES,Police Stations,"359721","173754",Bristol,"0",1,1,C1,Urban city and town,./0.png
-0.520131058200341,51.3797226260303,"8",00109400901014T,MP,POLICE STATION AND PREMISES,"349027152",,POLICE TRAFFIC CENTRE,BRETLANDS ROAD,KT16 9QN,,"71000",215G,"215",Other,OTHER - OFFICES,Police Stations,"503089","165558",Runnymede,"0",1,1,A1,Urban major conurbation,./3.png
-0.474448317383301,52.1378025614882,"9","1013805",MP,POLICE STATION AND PREMISES,"277657011",,"32",GREYFRIARS,MK40 1JD,,"190000",215G,"215",Other,OTHER - OFFICES,Police Stations,"504505","249931",Bedford,"0",1,1,C1,Urban city and town,./0.png
-0.480694480721168,52.2513248795728,"10","1039516",MP,POLICE STATION AND PREMISES,"62208011",,"37",HIGH STREET,MK44 1DX,,"8000",215G,"215",Other,OTHER - OFFICES,Police Stations,"503813","262548",Bedford,"0",0,0,E1,Rural village and dispersed,./2.png
-2.49322985965941,51.4128691224153,"11","70017999905",MP,POLICE STATION AND PREMISES,"215960211",,AVON AND SOMERSET CONSTABULARY,BATH HILL,BS31 1HJ,,"46750",215G,"215",Other,OTHER - OFFICES,Police Stations,"365794","168321",Bath and North East Somerset,"0",1,1,C1,Urban city and town,./0.png
-2.44102786798232,51.3882692437047,"12","39215001028",MP,POLICE STATION AND PREMISES,"217235211",,AVON & SOMERSET CONSTABULARY 1,GOOLD CLOSE,BA2 9AF,,"6300",215G,"215",Other,OTHER - OFFICES,Police Stations,"369408","165562",Bath and North East Somerset,"0",0,0,E1,Rural village and dispersed,./2.png
-2.64884731173869,51.310871910055,"13","07661055123",MP,POLICE STATION,"1601842000",,THE POLICE HOUSE,MAIN STREET,BS40 6JW,,"1000",215G,"215",Other,OTHER - OFFICES,Police Stations,"354871","157062",Bath and North East Somerset,"0",0,0,E1,Rural village and dispersed,./2.png
-2.95736931226696,51.3363969478652,"14","01300420910189",MP,POLICE MAINTENANCE DEPOT,"349012212",,MOTOR PATROL & MAINTENANCE CENTRE,STUART ROAD,BS23 3XN,,"56000",215G,"215",Other,OTHER - OFFICES,Police Stations,"333404","160136",North Somerset,"0",1,1,C1,Urban city and town,./0.png
-0.261990746986611,52.0850317054914,"15",06854/003005,MP,POLICE STATION AND PREMISES,"277660011",,5-7,STATION ROAD,SG18 8AL,,"36750",215G,"215",Other,OTHER - OFFICES,Police Stations,"519185","244389",Central Bedfordshire,"1",1,1,C1,Urban city and town,./0.png
-0.513845135709189,51.9103918925821,"16",7KW415007910,MP,POLICE STATION AND PREMISES,"277661011",,ADJ 79,SUNDON ROAD,LU5 5LN,,"13250",215G,"215",Other,OTHER - OFFICES,Police Stations,"502326","224583",Central Bedfordshire,"0",1,1,C1,Urban city and town,./0.png
