X,Y,fid,BAC,BARef,PDC,PrimDesc,UARN,Add1,St,Postcode,Field16,RV,SCAT,SCATnocode,Sector,Sub-sector,SCat_Desc,Easting,Northing,LAName,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11CD,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11,icon_url
-0.944119001516845,51.4485030046657,"1","345",100590513803B,MP,POLICE STATION AND PREMISES,"536737000",CEMETERY ARCH,LONDON ROAD,RG1 5AZ,,"7800",215S,"215",Other,OTHER - OFFICES,Police Stations,"473472","172697",Reading,C1,Urban city and town,./0.png
-0.969101331381067,51.4152394817755,"2","345","1009501300102",MP,POLICE STATION AND PREMISES,"31853000","270",WHITLEY WOOD ROAD,RG2 8FT,,"62500",215S,"215",Other,OTHER - OFFICES,Police Stations,"471788","168973",Reading,C1,Urban city and town,./0.png
-0.976643097333544,51.4529365871568,"3","345",100990001702B,MP,POLICE STATION AND PREMISES,"490025165",THAMES VALLEY POLICE E DIVISION,CASTLE STREET,RG1 7TH,,"465000",215S,"215",Other,OTHER - OFFICES,Police Stations,"471205","173158",Reading,C1,Urban city and town,./0.png
-1.03680975267073,51.4573036632211,"4","345","1009900022512",MP,POLICE STATION AND PREMISES,"490024165",AT,CORWEN ROAD,RG30 4TA,,"2950",215S,"215",Other,OTHER - OFFICES,Police Stations,"467018","173587",Reading,C1,Urban city and town,./0.png
-0.949493435194992,51.4525976172044,"5","345","1009900043114",MP,POLICE STATION AND PREMISES,"490022165",AT CEMETARY JUNCTION,LONDON ROAD,RG1 5BA,,"1500",215S,"215",Other,OTHER - OFFICES,Police Stations,"473092","173147",Reading,C1,Urban city and town,./0.png
-2.59101417455207,51.49479806429,"6","116","00016187320156",MP,POLICE STATION AND PREMISES,"12649381000",SOUTHMEAD POLICE STATION WESTGATE HOUSE,SOUTHMEAD ROAD,BS10 5NB,31/7/2019 00:00:00,"3350",215S,"215",Other,OTHER - OFFICES,Police Stations,"359067","177483",Bristol,C1,Urban city and town,./0.png
-2.57639829026643,51.4586436723774,"7","116","00014269058012",MP,POLICE STATION AND PREMISES,"337228212",AVON & SOMERSET POLICE DEPT,TRINITY ROAD,BS2 0NW,,"141000",215S,"215",Other,OTHER - OFFICES,Police Stations,"360050","173454",Bristol,C1,Urban city and town,./0.png
-2.59008419848733,51.4250007100429,"8","116","00015293001021",MP,POLICE STATION AND PREMISES,"337232212",AVON & SOMERSET POLICE DEPT,BROADBURY ROAD,BS4 1JT,,"75500",215S,"215",Other,OTHER - OFFICES,Police Stations,"359069","169720",Bristol,C1,Urban city and town,./0.png
-2.69374151431645,51.4990727018205,"9","116","00014881001012",MP,BUILDING UNDERGOING REFURBISHMENT,"338837212",AVONMOUTH POLICE STATION,AVONMOUTH ROAD,BS11 9LP,1/4/2017 00:00:00,"0",215S,"215",Other,OTHER - OFFICES,Police Stations,"351940","178021",Bristol,C1,Urban city and town,./0.png
-2.59354399955161,51.4566788448927,"10","116","00016399001334",MP,POLICE STATION AND PREMISES,"8194465000",ONE,BRIDEWELL STREET,BS1 2QD,,"545000",215S,"215",Other,OTHER - OFFICES,Police Stations,"358857","173245",Bristol,C1,Urban city and town,./0.png
-0.474448317383301,52.1378025614882,"11","235","1013805",MP,POLICE STATION AND PREMISES,"277657011","32",GREYFRIARS,MK40 1JD,,"172000",215S,"215",Other,OTHER - OFFICES,Police Stations,"504505","249931",Bedford,C1,Urban city and town,./0.png
-0.497135245399288,52.1171352221767,"12","235","1170532",MPO,POLICE STATION," OFFICE AND PREMISES,1744996000",217-223,BEDFORD ROAD,MK42 8PZ,,"107000",215S,"215",Other,OTHER - OFFICES,Police Stations,"503000","247600",Bedford,C1,Urban city and town,./0.png
-0.480694480721168,52.2513248795728,"13","235","1039516",MP,POLICE STATION AND PREMISES,"62208011","37",HIGH STREET,MK44 1DX,,"8100",215S,"215",Other,OTHER - OFFICES,Police Stations,"503813","262548",Bedford,E1,Rural village and dispersed,./1.png
-0.422082232451135,51.8775288002662,"14","230","201012010001013",MP,POLICE STATION AND PREMISES,"277760011",POLICE STATION,BUXTON ROAD,LU1 1RE,,"365000",215S,"215",Other,OTHER - OFFICES,Police Stations,"508717","221061",Luton,C1,Urban city and town,./0.png
